year,month,day,maxwind
2021,5,30,1.075
2021,5,31,0.65
2021,6,1,0.5
2021,6,2,0.708333333
2021,6,3,0.758333333
2021,6,4,1.6
2021,6,5,1.725
2021,6,6,1.925
2021,6,7,0.26
2021,6,8,0.633333333
2021,6,9,0.6
2021,6,10,0.516666667
2021,6,11,0.841666667
2021,6,12,0.491666667
2021,6,13,1.566666667
2021,6,14,1.675
2021,6,15,1.691666667
2021,6,16,1.025
2021,6,17,0.858333333
2021,6,18,1.133333333
2021,6,19,1.55
2021,6,20,0.95
2021,6,21,1.958333333
2021,6,22,1.516666667
2021,6,23,2.091666667
2021,6,24,2.433333333
2021,6,25,1.45
2021,6,26,2.125
2021,6,27,1.916666667
2021,6,28,0.75
2021,6,29,1.025
2021,6,30,0.591666667
2021,7,1,1.8
2021,7,2,1.283333333
2021,7,3,1.266666667
2021,7,4,1.391666667
2021,7,5,1.158333333
2021,7,6,0.891666667
2021,7,7,1.575
2021,7,8,0.95
2021,7,9,0.916666667
2021,7,10,0.466666667
2021,7,11,0.633333333
2021,7,12,0.583333333
2021,7,13,0.691666667
2021,7,14,0.841666667
2021,7,15,1.191666667
2021,7,16,0.2
2021,7,17,0.441666667
2021,7,18,0.358333333
2021,7,19,1.083333333
2021,7,20,1.55
2021,7,21,0.608333333
2021,7,22,0.508333333
2021,7,23,0.775
2021,7,24,1.791666667
2021,7,25,1.2
2021,7,26,0.758333333
2021,7,27,0.566666667
2021,7,28,0.716666667
2021,7,29,1.291666667
2021,7,30,1.633333333
2021,7,31,0.733333333
2021,8,1,2.333333333
2021,8,2,1.25
2021,8,3,0.916666667
2021,8,4,0.416666667
2021,8,5,0.8
2021,8,6,1.141666667
2021,8,7,0.625
2021,8,8,1.558333333
2021,8,9,2.241666667
2021,8,10,1.291666667
2021,8,11,1.233333333
2021,8,12,1.391666667
2021,8,13,1.066666667
2021,8,14,0.725
2021,8,15,0.825
2021,8,16,0.775
2021,8,17,0.591666667
2021,8,18,0.583333333
2021,8,19,0.425
2021,8,20,0.566666667
2021,8,21,1.041666667
2021,8,22,1.216666667
2021,8,23,0.75
2021,8,24,1.1
2021,8,25,1.016666667
2021,8,26,0.95
2021,8,27,0.4
2021,8,28,1.125
2021,8,29,1.425
2021,8,30,0.716666667
2021,8,31,0.841666667
2021,9,1,1.283333333
2021,9,2,0.666666667
2021,9,3,1.125
2021,9,4,1.025
2021,9,5,1.533333333
2021,9,6,1.25
2021,9,7,2.625
2021,9,8,1.4
2021,9,9,0.975
2021,9,10,0.633333333
2021,9,11,1.35
2021,9,12,1.191666667
2021,9,13,0.975
2021,9,14,1.566666667
2021,9,15,1.266666667
2021,9,16,0.675
2021,9,17,0.725
2021,9,18,0.658333333
2021,9,19,0.566666667
2021,9,20,1.066666667
2021,9,21,1.316666667
2021,9,22,1.058333333
2021,9,23,1.708333333
2021,9,24,1.541666667
2021,9,25,1.15
2021,9,26,1.325
2021,9,27,1.35
2021,9,28,0.916666667
2021,9,29,0.908333333
2021,9,30,0.366666667
2021,10,1,0.741666667
2021,10,2,0.775
2021,10,3,0.166666667
2021,10,4,0.566666667
2021,10,5,0.683333333
2021,10,6,0.583333333
2021,10,7,0.591666667
2021,10,8,0.8
2021,10,9,0.541666667
2021,10,10,1.541666667
2021,10,11,1.225
2021,10,12,1.291666667
2021,10,13,0.541666667
2021,10,14,0.891666667
2021,10,15,0.225
2021,10,16,1.241666667
2021,10,17,2.116666667
2021,10,18,0.541666667
2021,10,19,1.025
2021,10,20,1.558333333
2021,10,21,1.533333333
2021,10,22,0.216666667
2021,10,23,0.933333333
2021,10,24,1.133333333
2021,10,25,1.291666667
2021,10,26,1.016666667
2021,10,27,0.633333333
2021,10,28,0.85
2021,10,29,0.383333333
2021,10,30,0.425
2021,10,31,1.591666667
2021,11,1,1.266666667
2021,11,2,1.191666667
2021,11,3,0.483333333
2021,11,4,0.616666667
2021,11,5,0.975
2021,11,6,1.333333333
2021,11,7,1.358333333
2021,11,8,1.25
2021,11,9,0.075
2021,11,10,0.6
2021,11,11,2.1
2021,11,12,2.033333333
2021,11,13,1.008333333
2021,11,14,2.283333333
2021,11,15,0.475
2021,11,16,0.666666667
2021,11,17,1.35
2021,11,18,3.066666667
2021,11,19,1.2
2021,11,20,1.658333333
2021,11,21,3.558333333
2021,11,22,2.525
2021,11,23,1.275
2021,11,24,2.216666667
2021,11,25,1.983333333
2021,11,26,2.233333333
2021,11,27,1.691666667
2021,11,28,2.775
2021,11,29,1.008333333
2021,11,30,2.158333333
2021,12,1,1.775
2021,12,2,2.791666667
2021,12,3,0.291666667
2021,12,4,2.366666667
2021,12,5,1.875
2021,12,6,3.525
2021,12,7,1.3
2021,12,8,1.091666667
2021,12,9,1.316666667
2021,12,10,1.283333333
2021,12,11,5.241666667
2021,12,12,2.308333333
2021,12,13,2.016666667
2021,12,14,1.308333333
2021,12,15,3.825
2021,12,16,3.825
2021,12,17,0.683333333
2021,12,18,0.883333333
2021,12,19,1.075
2021,12,20,2.1
2021,12,21,2.866666667
2021,12,22,3.4
2021,12,23,1.358333333
2021,12,24,1.366666667
